"Date","Action","Symbol","Description","Quantity","Price","Fees & Comm","Amount"
"06/18/2026","Buy","OUST","OUSTER INC CLASS A","23","$45.2555","","-$1040.88"
"06/15/2026","Sell","ALAB","ASTERA LABS INC","50","$394.955","$0.42","$19747.33"
"06/12/2026","Qualified Dividend","SEI","SOLARIS ENERGY INFRSTR CLASS A","","","","$55.56"
"06/01/2026","Buy","CRDO","CREDO TECHNOLOGY GROUP F","42","$233.35","","-$9800.70"
"05/28/2026","Credit Interest","","SCHWAB1 INT 04/29-05/27","","","","$0.41"
"05/20/2026","Buy","CRDO","CREDO TECHNOLOGY GROUP F","55","$181.02","","-$9956.10"
"05/20/2026","Sell","ALAB","ASTERA LABS INC","70","$283.7401","$0.42","$19861.39"
"05/18/2026","Buy","KLIC","KULICKE & SOFFA INDS INC","50","$100.6701","","-$5033.51"
"05/15/2026","Sell","ELVA","ELECTROVAYA INC F","821","$9.6601","$0.32","$7930.62"
"05/13/2026","Buy","HNGE","HINGE HEALTH INC CLASS A","180","$55.277","","-$9949.86"
"05/13/2026","Sell","FIGR","FIGURE TECHNOLOGY SOLUTICLASS CLASS A","165","$36.535","$0.15","$6028.13"
"05/08/2026","Buy","APP","APPLOVIN CORP CLASS CLASS A","39","$452.13","","-$17633.07"
"05/08/2026","Sell","ALGM","ALLEGRO MICROSYSTEMS INC","97","$47.80","$0.12","$4636.48"
"05/05/2026","Buy","ALGM","ALLEGRO MICROSYSTEMS INC","97","$49.1608","","-$4768.60"
"04/29/2026","Credit Interest","","SCHWAB1 INT 03/30-04/28","","","","$0.52"
"04/15/2026","Qualified Dividend","MU","MICRON TECHNOLOGY INC","","","","$9.00"
"04/06/2026","Sell","DAVE","DAVE INC CLASS A","61","$176.93","$0.01","$10792.72"
"03/30/2026","Credit Interest","","SCHWAB1 INT 02/26-03/29","","","","$0.60"
"03/26/2026","MoneyLink Transfer","","Tfr NAVY FEDERAL CREDI, ANDREW TAYLOR","","","","-$10000.00"
"03/20/2026","Qualified Dividend","SEI","SOLARIS ENERGY INFRSTR CLASS CLASS A","","","","$55.56"
"02/26/2026","Credit Interest","","SCHWAB1 INT 01/29-02/25","","","","$0.52"
"02/04/2026","Sell","OGI","ORGANIGRAM GLOBAL INC F","5,155","$1.5108","$1.01","$7787.16"
"02/04/2026","Buy","PTRN","PATTERN GROUP INC CLASS SERIES A","311","$12.846","","-$3995.11"
"02/02/2026","Sell","BHST","BIOHARVEST SCIENCES IN F","824","$5.03","$0.16","$4144.56"
"02/02/2026","Sell","HIVE","HIVE DIGITAL TECHNOLOG F","1,427","$2.5401","$0.28","$3624.44"
"01/29/2026","Credit Interest","","SCHWAB1 INT 12/30-01/28","","","","$0.60"
"01/29/2026","Buy","FIGR","FIGURE TECHNOLOGY SOLUTICLASS A","165","$60.426","","-$9970.29"
"01/14/2026","Buy","MU","MICRON TECHNOLOGY INC","60","$333.52","","-$20011.20"
"01/14/2026","Sell","RDDT","REDDIT INC CLASS A","50","$253.5101","$0.01","$12675.50"
"01/13/2026","Buy","SEI","SOLARIS ENERGY INFRSTR CLASS A","463","$53.8262","","-$24921.53"
"01/08/2026","Sell","CRMD","CORMEDIX INC","4,333","$7.44","$0.72","$32236.80"
"12/30/2025","Credit Interest","","SCHWAB1 INT 11/26-12/29","","","","$1.58"
